user_id,gender,age,age_group,city,destination,travel_type,previous_trips,is_subscriber,used_discount,base_price,discount_amount,final_amount,package_type,rating
25795,Male,45,36-45,Pune,Singapore,Leisure,3,1,1,20950,1833,19117,Standard,4.8
10860,Female,52,46-60,Pune,Manali,Adventure,3,0,0,16412,0,16412,Standard,4.7
86820,Male,28,26-35,Kolkata,Manali,Honeymoon,4,0,1,47294,3784,43510,Standard,4.1
64886,Female,48,46-60,Delhi,Jaipur,Business,3,0,1,35973,4522,31451,Standard,4.8
16265,Female,56,46-60,Kolkata,Bangkok,Adventure,4,0,1,4805,4095,710,Standard,3.2
92386,Male,53,46-60,Bangalore,Jaipur,Leisure,5,1,1,5120,985,4135,Premium,4.1
47194,Male,47,46-60,Mumbai,Bangkok,Honeymoon,3,1,1,29037,4128,24909,Standard,5.0
97498,Female,40,36-45,Hyderabad,Kerala,Business,3,0,1,13821,1022,12799,Standard,5.0
54131,Female,36,36-45,Hyderabad,Manali,Adventure,2,0,1,26069,1782,24287,Premium,4.4
70263,Male,29,26-35,Delhi,Singapore,Leisure,3,0,1,17991,3991,14000,Premium,3.3
26023,Male,32,26-35,Delhi,Manali,Honeymoon,4,1,0,4942,0,4942,Premium,3.2
51090,Male,48,46-60,Hyderabad,Goa,Leisure,2,0,1,31318,2489,28829,Standard,4.8
77221,Female,54,46-60,Delhi,Paris,Adventure,7,1,1,46765,2863,43902,Premium,4.8
74820,Female,54,46-60,Mumbai,Bangkok,Honeymoon,4,1,0,5827,0,5827,Premium,3.6
10769,Male,32,26-35,Bangalore,Goa,Adventure,2,1,1,43148,3940,39208,Premium,4.9
69735,Female,46,46-60,Bangalore,Kerala,Business,2,1,0,14093,0,14093,Premium,3.3
72955,Female,43,36-45,Kolkata,Kerala,Adventure,1,0,0,29994,0,29994,Standard,3.6
74925,Male,19,18-25,Mumbai,Bangkok,Business,2,1,1,44323,3355,40968,Standard,4.3
77969,Male,37,36-45,Delhi,Bangkok,Adventure,3,1,1,7495,846,6649,Premium,3.3
15311,Female,32,26-35,Delhi,Manali,Leisure,6,1,0,22281,0,22281,Premium,5.0
93104,Female,21,18-25,Kolkata,Paris,Leisure,5,1,1,36027,2084,33943,Premium,3.4
63707,Male,39,36-45,Kolkata,Manali,Honeymoon,3,0,1,31435,4350,27085,Premium,3.5
95305,Male,55,46-60,Delhi,Goa,Leisure,2,0,1,43697,3003,40694,Standard,3.9
38693,Male,40,36-45,Delhi,Goa,Leisure,4,0,1,20452,4872,15580,Premium,4.6
81932,Male,43,36-45,Mumbai,Bangkok,Business,2,0,0,15126,0,15126,Standard,3.2
35658,Male,28,26-35,Kolkata,Singapore,Leisure,3,0,1,40761,4905,35856,Premium,4.3
94478,Female,45,36-45,Mumbai,Singapore,Business,4,1,1,19221,4652,14569,Standard,3.2
28431,Female,19,18-25,Pune,Goa,Business,1,0,1,28886,842,28044,Premium,3.2
12747,Female,25,18-25,Delhi,Paris,Business,9,1,1,43475,2699,40776,Premium,3.1
69150,Female,46,46-60,Hyderabad,Bangkok,Adventure,4,0,1,43264,4342,38922,Standard,4.1
75725,Male,28,26-35,Hyderabad,Kerala,Business,3,0,0,9458,0,9458,Standard,3.9
94654,Male,54,46-60,Pune,Singapore,Adventure,3,1,0,28904,0,28904,Standard,3.6
45773,Male,35,26-35,Delhi,Singapore,Business,2,0,1,3228,1067,2161,Standard,4.1
77435,Female,31,26-35,Kolkata,Dubai,Adventure,2,0,1,40613,1762,38851,Standard,4.0
66886,Female,27,26-35,Hyderabad,Dubai,Honeymoon,4,0,1,4970,3147,1823,Standard,3.9
76803,Female,52,46-60,Kolkata,Singapore,Honeymoon,2,0,1,25645,3098,22547,Standard,3.3
41551,Male,26,26-35,Hyderabad,Manali,Adventure,2,1,1,43720,3113,40607,Standard,4.8
21394,Female,52,46-60,Kolkata,Paris,Honeymoon,2,0,0,48181,0,48181,Standard,4.2
79092,Male,28,26-35,Hyderabad,Jaipur,Leisure,3,0,1,34705,2939,31766,Premium,3.3
13890,Male,29,26-35,Kolkata,Singapore,Business,2,0,0,7227,0,7227,Standard,3.5
51606,Male,20,18-25,Pune,Dubai,Adventure,3,0,1,30808,4967,25841,Standard,4.5
90038,Male,56,46-60,Mumbai,Paris,Honeymoon,3,0,0,21109,0,21109,Standard,4.6
97313,Male,31,26-35,Kolkata,Paris,Honeymoon,3,0,1,12808,3550,9258,Standard,4.5
20627,Male,45,36-45,Mumbai,Dubai,Leisure,3,0,0,13089,0,13089,Premium,4.6
18792,Female,28,26-35,Mumbai,Bangkok,Business,4,0,0,19071,0,19071,Standard,4.2
83969,Male,56,46-60,Delhi,Paris,Leisure,6,1,0,32017,0,32017,Premium,3.6
53001,Male,42,36-45,Pune,Bangkok,Adventure,2,0,0,13323,0,13323,Premium,3.7
86552,Female,38,36-45,Mumbai,Paris,Honeymoon,3,0,0,21866,0,21866,Standard,4.0
33897,Male,27,26-35,Bangalore,Dubai,Honeymoon,5,1,1,41053,1163,39890,Standard,3.5
78148,Female,32,26-35,Mumbai,Goa,Honeymoon,1,0,1,20834,649,20185,Standard,4.7
33483,Female,36,36-45,Kolkata,Singapore,Leisure,4,1,1,41959,982,40977,Premium,4.5
58555,Female,39,36-45,Mumbai,Manali,Leisure,3,0,1,23664,1963,21701,Standard,5.0
27159,Male,38,36-45,Kolkata,Bangkok,Business,6,1,0,41709,0,41709,Standard,3.8
90077,Male,49,46-60,Kolkata,Jaipur,Adventure,3,0,1,27416,1424,25992,Premium,4.7
45920,Female,40,36-45,Bangalore,Manali,Business,1,1,1,20639,696,19943,Premium,4.6
77121,Male,30,26-35,Mumbai,Goa,Business,4,0,1,3400,3086,314,Standard,4.7
79479,Male,22,18-25,Mumbai,Kerala,Honeymoon,3,0,1,49770,407,49363,Premium,4.4
99475,Female,21,18-25,Hyderabad,Goa,Leisure,2,1,1,41407,1701,39706,Premium,3.7
29457,Female,45,36-45,Hyderabad,Paris,Adventure,4,0,1,24736,2703,22033,Standard,3.5
76557,Male,31,26-35,Delhi,Manali,Business,6,1,1,13174,4768,8406,Standard,3.5
87189,Female,25,18-25,Kolkata,Bangkok,Adventure,3,0,1,49447,2916,46531,Standard,4.1
88953,Female,26,26-35,Bangalore,Bangkok,Honeymoon,6,0,1,45935,1979,43956,Premium,4.8
62995,Female,52,46-60,Hyderabad,Goa,Business,5,0,0,47613,0,47613,Standard,3.9
50757,Male,54,46-60,Mumbai,Manali,Leisure,2,0,0,39232,0,39232,Standard,4.2
19692,Male,38,36-45,Delhi,Goa,Business,4,0,1,24450,2233,22217,Premium,4.5
55758,Male,35,26-35,Bangalore,Jaipur,Honeymoon,1,0,1,21798,4306,17492,Standard,4.7
82409,Female,50,46-60,Pune,Goa,Business,4,0,1,14374,2701,11673,Standard,4.3
81211,Male,25,18-25,Mumbai,Manali,Honeymoon,1,0,0,29884,0,29884,Standard,4.3
75697,Female,34,26-35,Mumbai,Paris,Business,2,0,1,4087,2978,1109,Standard,5.0
47065,Male,48,46-60,Pune,Manali,Adventure,5,1,0,6874,0,6874,Premium,4.7
42606,Male,51,46-60,Kolkata,Dubai,Leisure,1,0,0,46507,0,46507,Premium,4.5
21534,Female,23,18-25,Kolkata,Manali,Honeymoon,4,0,0,34803,0,34803,Standard,4.7
50397,Male,39,36-45,Hyderabad,Jaipur,Adventure,1,0,0,22544,0,22544,Standard,5.0
11016,Female,31,26-35,Hyderabad,Singapore,Honeymoon,3,0,0,9499,0,9499,Standard,4.0
99789,Male,20,18-25,Mumbai,Jaipur,Business,2,0,0,12584,0,12584,Standard,4.4
65591,Male,29,26-35,Mumbai,Jaipur,Honeymoon,4,0,0,45475,0,45475,Premium,4.6
99812,Female,53,46-60,Hyderabad,Goa,Honeymoon,3,1,1,38461,1205,37256,Standard,3.9
33247,Female,29,26-35,Pune,Jaipur,Leisure,5,1,0,5903,0,5903,Standard,4.9
34300,Female,19,18-25,Hyderabad,Manali,Adventure,6,1,0,9051,0,9051,Standard,3.8
84065,Male,19,18-25,Mumbai,Bangkok,Business,4,1,1,48423,3536,44887,Premium,3.5
92798,Male,32,26-35,Bangalore,Singapore,Leisure,5,0,1,35988,1211,34777,Premium,4.4
19268,Male,40,36-45,Mumbai,Bangkok,Honeymoon,7,1,0,9416,0,9416,Premium,3.2
96807,Female,46,46-60,Bangalore,Kerala,Leisure,2,0,1,6012,2472,3540,Premium,3.3
22185,Female,34,26-35,Bangalore,Paris,Honeymoon,4,1,0,43312,0,43312,Standard,4.9
73704,Female,49,46-60,Mumbai,Kerala,Business,6,1,1,41134,4217,36917,Premium,3.6
96779,Male,24,18-25,Delhi,Jaipur,Honeymoon,3,0,0,27433,0,27433,Standard,3.1
49099,Male,47,46-60,Hyderabad,Bangkok,Leisure,7,1,1,18749,3575,15174,Standard,3.9
18571,Female,45,36-45,Kolkata,Manali,Leisure,6,1,1,25073,4562,20511,Premium,4.7
48044,Male,31,26-35,Mumbai,Goa,Honeymoon,3,0,0,40036,0,40036,Standard,3.7
61214,Female,47,46-60,Bangalore,Goa,Adventure,1,0,1,24831,4046,20785,Premium,3.8
71228,Male,34,26-35,Mumbai,Paris,Leisure,2,0,0,14055,0,14055,Premium,3.3
58984,Male,49,46-60,Hyderabad,Paris,Adventure,4,1,1,38505,2434,36071,Premium,3.7
50774,Female,23,18-25,Pune,Manali,Adventure,4,0,0,16623,0,16623,Standard,4.9
12568,Male,41,36-45,Bangalore,Paris,Adventure,5,0,1,5696,2933,2763,Standard,4.8
72592,Male,23,18-25,Kolkata,Bangkok,Adventure,4,1,1,31665,2070,29595,Premium,4.5
77563,Female,44,36-45,Kolkata,Bangkok,Leisure,4,1,0,12691,0,12691,Premium,4.6
12695,Female,35,26-35,Kolkata,Paris,Leisure,2,0,1,14453,3365,11088,Standard,4.3
58190,Male,41,36-45,Pune,Goa,Adventure,6,1,0,28076,0,28076,Premium,3.2
15258,Female,54,46-60,Delhi,Manali,Leisure,1,0,0,37424,0,37424,Standard,3.2
97538,Male,41,36-45,Bangalore,Singapore,Adventure,1,0,1,22742,1744,20998,Standard,4.1
49504,Female,55,46-60,Pune,Paris,Adventure,7,0,1,9464,4417,5047,Standard,4.2
43159,Male,51,46-60,Bangalore,Manali,Adventure,3,0,1,4896,4681,215,Premium,4.9
23986,Male,57,46-60,Pune,Jaipur,Honeymoon,3,1,1,37876,3613,34263,Standard,3.9
71858,Female,32,26-35,Pune,Goa,Business,1,1,1,12353,3981,8372,Standard,4.8
22666,Male,28,26-35,Delhi,Singapore,Leisure,2,1,1,3125,1118,2007,Premium,5.0
48660,Male,39,36-45,Bangalore,Bangkok,Leisure,1,1,0,39543,0,39543,Standard,4.7
13561,Female,41,36-45,Pune,Goa,Adventure,1,0,1,14477,3901,10576,Premium,3.8
36854,Female,18,18-25,Delhi,Goa,Honeymoon,2,1,1,21624,355,21269,Standard,4.5
74505,Male,35,26-35,Mumbai,Bangkok,Honeymoon,3,0,1,19972,3399,16573,Standard,4.1
62251,Female,29,26-35,Hyderabad,Dubai,Leisure,2,0,1,35397,3314,32083,Premium,3.4
